"Date","Temp"
"1981-01-01",20.7
"1981-01-02",17.9
"1981-01-03",18.8
"1981-01-04",14.6
"1981-01-05",15.8
"1981-01-06",15.8
"1981-01-07",15.8
"1981-01-08",17.4
"1981-01-09",21.8
"1981-01-10",20.0
"1981-01-11",16.2
"1981-01-12",13.3
"1981-01-13",16.7
"1981-01-14",21.5
"1981-01-15",25.0
"1981-01-16",20.7
"1981-01-17",20.6
"1981-01-18",24.8
"1981-01-19",17.7
"1981-01-20",15.5
"1981-01-21",18.2
"1981-01-22",12.1
"1981-01-23",14.4
"1981-01-24",16.0
"1981-01-25",16.5
"1981-01-26",18.7
"1981-01-27",19.4
"1981-01-28",17.2
"1981-01-29",15.5
"1981-01-30",15.1
"1981-01-31",15.4
"1981-02-01",15.3
"1981-02-02",18.8
"1981-02-03",21.9
"1981-02-04",19.9
"1981-02-05",16.6
"1981-02-06",16.8
"1981-02-07",14.6
"1981-02-08",17.1
"1981-02-09",25.0
"1981-02-10",15.0
"1981-02-11",13.7
"1981-02-12",13.9
"1981-02-13",18.3
"1981-02-14",22.0
"1981-02-15",22.1
"1981-02-16",21.2
"1981-02-17",18.4
"1981-02-18",16.6
"1981-02-19",16.1
"1981-02-20",15.7
"1981-02-21",16.6
"1981-02-22",16.5
"1981-02-23",14.4
"1981-02-24",14.4
"1981-02-25",18.5
"1981-02-26",16.9
"1981-02-27",17.5
"1981-02-28",21.2
"1981-03-01",17.8
"1981-03-02",18.6
"1981-03-03",17.0
"1981-03-04",16.0
"1981-03-05",13.3
"1981-03-06",14.3
"1981-03-07",11.4
"1981-03-08",16.3
"1981-03-09",16.1
"1981-03-10",11.8
"1981-03-11",12.2
"1981-03-12",14.7
"1981-03-13",11.8
"1981-03-14",11.3
"1981-03-15",10.6
"1981-03-16",11.7
"1981-03-17",14.2
"1981-03-18",11.2
"1981-03-19",16.9
"1981-03-20",16.7
"1981-03-21",8.1
"1981-03-22",8.0
"1981-03-23",8.8
"1981-03-24",13.4
"1981-03-25",10.9
"1981-03-26",13.4
"1981-03-27",11.0
"1981-03-28",15.0
"1981-03-29",15.7
"1981-03-30",14.5
"1981-03-31",15.8
"1981-04-01",16.7
"1981-04-02",16.8
"1981-04-03",17.5
"1981-04-04",17.1
"1981-04-05",18.1
"1981-04-06",16.6
"1981-04-07",10.0
"1981-04-08",14.9
"1981-04-09",15.9
"1981-04-10",13.0
"1981-04-11",7.6
"1981-04-12",11.5
"1981-04-13",13.5
"1981-04-14",13.0
"1981-04-15",13.3
"1981-04-16",12.1
"1981-04-17",12.4
"1981-04-18",13.2
"1981-04-19",13.8
"1981-04-20",10.6
"1981-04-21",9.0
"1981-04-22",10.0
"1981-04-23",9.8
"1981-04-24",11.5
"1981-04-25",8.9
"1981-04-26",7.4
"1981-04-27",9.9
"1981-04-28",9.3
"1981-04-29",9.9
"1981-04-30",7.4
"1981-05-01",8.6
"1981-05-02",11.9
"1981-05-03",14.0
"1981-05-04",8.6
"1981-05-05",10.0
"1981-05-06",13.5
"1981-05-07",12.0
"1981-05-08",10.5
"1981-05-09",10.7
"1981-05-10",8.1
"1981-05-11",10.1
"1981-05-12",10.6
"1981-05-13",5.3
"1981-05-14",6.6
"1981-05-15",8.5
"1981-05-16",11.2
"1981-05-17",9.8
"1981-05-18",5.9
"1981-05-19",3.2
"1981-05-20",2.1
"1981-05-21",3.4
"1981-05-22",5.4
"1981-05-23",9.6
"1981-05-24",11.5
"1981-05-25",12.3
"1981-05-26",12.6
"1981-05-27",11.0
"1981-05-28",11.2
"1981-05-29",11.4
"1981-05-30",11.8
"1981-05-31",12.8
"1981-06-01",11.6
"1981-06-02",10.6
"1981-06-03",9.8
"1981-06-04",11.2
"1981-06-05",5.7
"1981-06-06",7.1
"1981-06-07",2.5
"1981-06-08",3.5
"1981-06-09",4.6
"1981-06-10",11.0
"1981-06-11",5.7
"1981-06-12",7.7
"1981-06-13",10.4
"1981-06-14",11.4
"1981-06-15",9.2
"1981-06-16",6.1
"1981-06-17",2.7
"1981-06-18",4.3
"1981-06-19",6.3
"1981-06-20",3.8
"1981-06-21",4.4
"1981-06-22",7.1
"1981-06-23",4.8
"1981-06-24",5.8
"1981-06-25",6.2
"1981-06-26",7.3
"1981-06-27",9.2
"1981-06-28",10.2
"1981-06-29",9.5
"1981-06-30",9.5
"1981-07-01",10.7
"1981-07-02",10.0
"1981-07-03",6.5
"1981-07-04",7.0
"1981-07-05",7.4
"1981-07-06",8.1
"1981-07-07",6.6
"1981-07-08",8.3
"1981-07-09",8.9
"1981-07-10",4.6
"1981-07-11",6.8
"1981-07-12",5.7
"1981-07-13",6.1
"1981-07-14",7.0
"1981-07-15",7.2
"1981-07-16",6.3
"1981-07-17",8.8
"1981-07-18",5.0
"1981-07-19",7.4
"1981-07-20",10.1
"1981-07-21",12.0
